id,section,subsection,title,details,price_crc,price_text,tags,url,locale,version,contact_value
919e088d-244c-41e8-a196-dd798be1525b,Compañía,Quiénes Somos,Descripción,"American Data Networks S.A. (ADN) fundada en 2005. Equipo con más de 15 años de experiencia en telecomunicaciones. 
Enfoque 100 % en calidad de servicio y soporte oportuno. Actualización constante de tecnologías para brindar servicios de clase mundial. 
Opción de transporte nacional e internacional de alta capacidad de datos en Costa Rica; permite optimizar y expandir redes de forma segura y rápida.",,,"empresa, historia, calidad, telecomunicaciones",,es_CR,v1.1,
ec538fc5-40ea-42f5-a566-5ea0ead6f1a6,Compañía,Misión,Misión,"Ser la primera opción en servicios de telecomunicación, brindando innovación constante e infraestructura tecnológica de alto nivel para el transporte de datos de forma rápida, eficiente y segura.",,,"mision, estrategia",,es_CR,v1.1,
e4e1e92d-370f-44da-9b6b-c1435c3adb7c,Compañía,Visión,Visión,"Ser la compañía líder en vanguardia tecnológica del mercado de telecomunicaciones, con enfoque claro en clientes y estándares de clase mundial.",,,"vision, estrategia",,es_CR,v1.1,
1fc1bafe-a699-4408-b19f-5b988e6ac4a5,Compañía,Ubicación,Dirección física,"San José, San José, Mata Redonda, Sabana Sur, 75 m Oeste de la Contraloría General de la República, Edificio La Colmena.",,,"direccion, ubicacion",,es_CR,v1.1,
f726981d-44d7-43e6-8c26-3ddccff6c26a,Contacto,Canales,Teléfono,Teléfono principal de contacto y soporte.,,,"telefono, contacto",,es_CR,v1.1,+506 4050-5050
771af0e6-c0cf-4498-a0e9-3025661806e5,Contacto,Canales,WhatsApp,Canal de WhatsApp para ventas y soporte.,,,"whatsapp, contacto",,es_CR,v1.1,+506 7087-8240
9eaa2146-5d96-47b6-9015-57e3aee3e7d4,Contacto,Canales,Correo información/comercial,Correo para información general y consultas comerciales.,,,"correo, ventas",,es_CR,v1.1,info@data.cr
e390c557-3382-4172-8d8a-3d3afcdd7470,Contacto,Canales,Correo soporte técnico,Soporte técnico por correo.,,,"correo, soporte",,es_CR,v1.1,helpdesk@data.cr
87a101e2-a829-4764-a617-08bf339b3834,Contacto,Horarios,Soporte técnico 24/7,Soporte técnico disponible 24/7.,,,"soporte, horario",,es_CR,v1.1,
40be48d1-a37c-4bfb-b13c-f21ddf0895e1,Contacto,Horarios,Horario administrativo,"Lunes a viernes, 7:00 a. m. – 5:00 p. m.",,,"administrativo, horario",,es_CR,v1.1,
83151f70-6e11-4873-a697-e1e9331a30ae,Residencial,Beneficios,Velocidades simétricas,Sube y descarga contenido al mismo tiempo sin pérdida de calidad.,,,"simetrico, subida, bajada",,es_CR,v1.1,
28386eec-cc12-479d-9365-2b5e5b01dbcc,Residencial,Beneficios,Wi‑Fi confiable en todo el hogar,Conectividad fluida en cada rincón del hogar gracias a tecnología de última generación.,,,"wifi, hogar",,es_CR,v1.1,
7b672d42-f4d0-4813-8924-43fe8a7a3dd3,Residencial,Beneficios,Conexión estable 24/7,Rendimiento consistente incluso en horas de alta demanda.,,,"estabilidad, uptime",,es_CR,v1.1,
3bded88c-2bc6-459d-9e81-f7e219dc2d54,Residencial,Beneficios,"Ideal para streaming, gaming, videollamadas y teletrabajo",Experiencia en línea sin interrupciones con múltiples dispositivos conectados simultáneamente.,,,"streaming, gaming, teletrabajo",,es_CR,v1.1,
dc0b2749-e773-4eeb-a45e-b175aeaec417,Residencial,Beneficios,Soporte técnico en ≤ 90 minutos,"En caso de fallos, se envía un técnico en moto al hogar en 90 minutos o menos.",,,"sla, soporte, tiempos",,es_CR,v1.1,
dd9cb566-9205-4a7d-a06c-25ccb288580d,Residencial,Planes,Plan 100/100 Mbps,"Plan residencial simétrico. Incluye Equipo Wi‑Fi, Firewall y Soporte 24/7.",20500,₡20 500 IVI,"plan, 100, residencial",,es_CR,v1.1,
