id,section,subsection,channel_number,title,details,tags,locale,version
1d2c6fcb-b93c-4d81-bb21-c724f216b60f,IPTV,Canales,1,Canal 1,Canal disponible en la grilla IPTV: Canal 1.,"canal, iptv",es_CR,iptv.v1.0
1dfb16aa-dd33-4878-b515-de9ad79db5a8,IPTV,Canales,2,Canal 2 CDR,Canal disponible en la grilla IPTV: Canal 2 CDR.,"canal, iptv",es_CR,iptv.v1.0
4cef0526-cbe9-4e90-b010-8f1e859a837d,IPTV,Canales,3,Antena 6,Canal disponible en la grilla IPTV: Antena 6.,"canal, iptv",es_CR,iptv.v1.0
dcb62c01-83fb-434a-9953-f74c80d75dc4,IPTV,Canales,4,Canal 4,Canal disponible en la grilla IPTV: Canal 4.,"canal, iptv",es_CR,iptv.v1.0
2f375dab-36db-4010-be69-a7425dcc44e7,IPTV,Canales,5,Trivision,Canal disponible en la grilla IPTV: Trivision.,"canal, iptv",es_CR,iptv.v1.0
b5c0529d-4ce3-4656-a450-124908c135e1,IPTV,Canales,6,Canal 6,Canal disponible en la grilla IPTV: Canal 6.,"canal, iptv",es_CR,iptv.v1.0
b849bbd3-0897-40e4-99bf-c8c641a6bb51,IPTV,Canales,7,Canal 7,Canal disponible en la grilla IPTV: Canal 7.,"canal, iptv",es_CR,iptv.v1.0
0b6c4dfe-606c-4d8c-b085-b8779b3d9cba,IPTV,Canales,8,Multimedios,Canal disponible en la grilla IPTV: Multimedios.,"canal, iptv",es_CR,iptv.v1.0
824548d5-258c-43c0-97eb-989da42b2c88,IPTV,Canales,9,UCR,Canal disponible en la grilla IPTV: UCR.,"canal, iptv",es_CR,iptv.v1.0
497e6578-9ab3-445d-8ba9-74b3abf4167d,IPTV,Canales,10,ExtraTV 42,Canal disponible en la grilla IPTV: ExtraTV 42.,"canal, iptv",es_CR,iptv.v1.0
523d9c8b-6260-481b-8c17-193a03f612e2,IPTV,Canales,11,Canal 11,Canal disponible en la grilla IPTV: Canal 11.,"canal, iptv",es_CR,iptv.v1.0
13493bbb-89f1-480f-8d5f-bf8eb42c9633,IPTV,Canales,12,OPA TV,Canal disponible en la grilla IPTV: OPA TV.,"canal, iptv",es_CR,iptv.v1.0
0ea11469-dae1-4542-80fb-42c4c3343b65,IPTV,Canales,13,Sinart - Canal 13,Canal disponible en la grilla IPTV: Sinart - Canal 13.,"canal, iptv",es_CR,iptv.v1.0
4ccf2545-4fb1-48bb-9895-f259147e538b,IPTV,Canales,14,CB TV,Canal disponible en la grilla IPTV: CB TV.,"canal, iptv",es_CR,iptv.v1.0
2c0448d4-00db-45f3-968c-8dd8dd989d6f,IPTV,Canales,15,Limon TV,Canal disponible en la grilla IPTV: Limon TV.,"canal, iptv",es_CR,iptv.v1.0
2033523b-5930-4cec-aac4-c48e7745e200,IPTV,Canales,16,Nicoya TV,Canal disponible en la grilla IPTV: Nicoya TV.,"canal, iptv",es_CR,iptv.v1.0
ea1c57b9-f3ac-4994-bc81-74cdfaa981a9,IPTV,Canales,17,TV Sur,Canal disponible en la grilla IPTV: TV Sur.,"canal, iptv",es_CR,iptv.v1.0
e6150534-4bc8-49d6-9968-4396c2040b48,IPTV,Canales,18,TV Plus,Canal disponible en la grilla IPTV: TV Plus.,"canal, iptv",es_CR,iptv.v1.0
c03f319e-5628-48fd-877a-0c914d042759,IPTV,Canales,19,TicaVision,Canal disponible en la grilla IPTV: TicaVision.,"canal, iptv",es_CR,iptv.v1.0
b517edc1-12d0-465f-aed2-b3d413c02c5c,IPTV,Canales,20,Xpert TV,Canal disponible en la grilla IPTV: Xpert TV.,"canal, iptv",es_CR,iptv.v1.0
415d1902-b07a-4b3b-8f9a-51b4e22fe216,IPTV,Canales,21,Telered,Canal disponible en la grilla IPTV: Telered.,"canal, iptv",es_CR,iptv.v1.0
e674a5e6-6305-4e7f-ba92-40ee8b7edb53,IPTV,Canales,22,Telesistema,Canal disponible en la grilla IPTV: Telesistema.,"canal, iptv",es_CR,iptv.v1.0
e1066f9c-f905-4ebb-b584-a465714d01f4,IPTV,Canales,23,Canal de las Estrellas,Canal disponible en la grilla IPTV: Canal de las Estrellas.,"canal, iptv",es_CR,iptv.v1.0
d0b74dfa-64a6-4484-9e6f-f8b7cf0cdd12,IPTV,Canales,24,TV Novelas Centro,Canal disponible en la grilla IPTV: TV Novelas Centro.,"canal, iptv",es_CR,iptv.v1.0
1de3c10d-f2d2-41df-8e5d-02641a166d82,IPTV,Canales,25,Univision Lat,Canal disponible en la grilla IPTV: Univision Lat.,"canal, iptv",es_CR,iptv.v1.0
